id;hotel_name;departure_destinations;arrival_destination;room_types;board;type_of_transport
87;Hotel Oasis Atlantico Salinas Sea;Warszawa;Wyspy Zielonego Przylądka / Sal / Santa Maria (sal);Pokój;All inclusive 24h;
88;Hotel BG Tonga Design & Suites Tower;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Hiszpania / Majorka / Can Picafort;Apartament,Pokój,Junior Suite;All inclusive premium ;
89;Hotel Xenios Dolphin Beach;Dojazd własny;Grecja / Chalkidiki / Possidi;Pokój superior;All inclusive;
90;Hotel Zita Beach Resort Zarzis;Katowice,Poznań,Warszawa,Wrocław;Tunezja / Djerba / Dżardżis;Bungalow,Pokój,Pokój rodzinny;All inclusive;
91;Hotel Prestige Resort;Gdańsk,Katowice,Kraków,Poznań,Rzeszów,Warszawa,Wrocław;Albania / Durres / Golem;Pokój,Pokój rodzinny;All inclusive;
92;Hotel Delfino Beach;Katowice,Warszawa;Włochy / Sycylia / Marsala;Pokój,Pokój superior;All inclusive soft;
93;Hotel Gloria Palace Royal & Spa;Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Gran Canaria / Puerto Rico;Pokój,Suite;2 posiłki,All inclusive premium;
94;Hotel Tabaiba Princess;Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Gran Canaria / Maspalomas;Pokój,Pokój rodzinny,Junior suite vital;All inclusive;
95;Hotel Simantro Beach;Dojazd własny;Grecja / Chalkidiki / Sani;Pokój,Suite;All inclusive;
96;Hotel Aqua Sol Holiday Village;Gdańsk,Katowice,Kraków,Warszawa - Modlin,Wrocław;Cypr / Pafos;Apartament,Studio;All inclusive;
97;Hotel Grand Teguise Playa;Katowice,Warszawa;Wyspy Kanaryjskie / Lanzarote / Costa Teguise;Pokój superior,Pokój,Suite Club Teguise;All inclusive;
98;Hotel Coral Cotillo Beach;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Fuerteventura / El Cotillo;Pokój premium,Pokój;Śniadania,2 posiłki;
99;Arche Hotel Poloneza;Dojazd własny;Polska / W mieście / Warszawa;Pokój;Śniadania,2 posiłki;
100;Arche Hotel Puławska Residence;Dojazd własny;Polska / W mieście / Warszawa;Pokój;Śniadania,2 posiłki;
101;Hotel Holiday Inn Express Rzeszów Airport;Dojazd własny;Polska / Przy lotnisku / Jasionka;Pokój;Śniadania;
102;Hotel Hampton By Hilton Warsaw Airport;Dojazd własny;Polska / Przy lotnisku / Warszawa;Pokój;Śniadania;
103;Hotel Altus Poznań Old Town;Dojazd własny;Polska / W mieście / Poznań;Pokój superior,Pokój;Śniadania;
104;Western Camp Resort i park rozrywki ENERGYLANDIA;Dojazd własny;Polska / Poza miastem / Zator;Tipi,Wóz,Domek Szeryfa;Śniadania,2 posiłki;
105;Hotel Hampton by Hilton Gdańsk Airport;Dojazd własny;Polska / Przy lotnisku / Gdańsk;Pokój;Śniadania;
106;Hotel Focus Premium Elbląg;Dojazd własny;Polska / W mieście / Elbląg;Pokój;Śniadania,2 posiłki;
107;Apartamenty Świnoujście;Dojazd własny;Polska / Morze / Świnoujście;Apartament deluxe,Studio;Bez wyżywienia,Śniadania,2 posiłki;
108;Apartamenty Górna Resort;Dojazd własny;Polska / Góry / Szklarska Poręba;Apartament;Bez wyżywienia,Śniadania,2 posiłki;
109;Hotel Courtyard by Marriott Warsaw Airport;Dojazd własny;Polska / Przy lotnisku / Warszawa;Pokój deluxe,Pokój;Śniadania;
110;Apartamenty Sosnowa 4;Dojazd własny;Polska / Morze / Mielno;Apartament;Bez wyżywienia,Śniadania,2 posiłki;
111;Apartamenty Olympic Park;Dojazd własny;Polska / Morze / Kołobrzeg;Apartament deluxe,Apartament;Bez wyżywienia,Śniadania,2 posiłki;
112;Regent Warsaw Hotel;Dojazd własny;Polska / W mieście / Warszawa;Pokój deluxe,Pokój;Śniadania;
113;Hotel Wellness Harrachovka;Dojazd własny;Czechy / Czeskie Karkonosze / Harrachov;Pokój,Pokój rodzinny;2 posiłki;
114;Hotel Renaissance Warsaw Airport;Dojazd własny;Polska / Przy lotnisku / Warszawa;Pokój;Śniadania;
115;Hotel Piotr SPA &Wellness;Dojazd własny;Polska / Góry / Boguszów-gorce;Pokój;Śniadania,2 posiłki;
116;Hotel Redyk Ski & Relax;Dojazd własny;Polska / Góry / Ząb;Pokój,pokój standardowy trzyosobowy;Śniadania,2 posiłki;
117;Hotel Srní;Dojazd własny;Czechy / Szumawy / Srni;Pokój,Pok;Śniadania,2 posiłki;
118;Apartamenty Ostróda;Dojazd własny;Polska / Jeziora / Ostróda;Pokój lux;Śniadania;
119;NAT Krynica Morska;Dojazd własny;Polska / Morze / Krynica Morska;Pokój;Śniadania,2 posiłki;
120;Hotel Clarion;Dojazd własny;Czechy (narty) / Czeskie Karkonosze / Szpindlerowy Młyn;Pokój;Śniadania,2 posiłki;
121;Osada Górski Potok;Dojazd własny;Polska / Góry / Szczawina;Apartament,Pokój,Domek;Śniadania,2 posiłki,All inclusive;
122;Focus Hotel Gdańsk;Dojazd własny;Polska / Morze / Gdańsk;Pokój;Śniadania,2 posiłki;
123;Hotel Las;Dojazd własny;Polska / Góry / Piechowice;Pokój;Śniadania,2 posiłki;
124;Hotel NAT Jarosławiec;Dojazd własny;Polska / Morze / Jarosławiec;Pokój;Śniadania,2 posiłki;
125;Focus Hotel Premium Sopot;Dojazd własny;Polska / Morze / Sopot;Pokój;Śniadania,2 posiłki;
